# UC-Cross-Atlas cell-type label crosswalk
#
# Generated by scripts/build_celltype_crosswalk.py — rerun on any change
# to _broad_vocab.py / loader FINE_TO_BROAD maps / canonical_broad_DRAFT.md
# CL pin. Do not hand-edit; this file is regenerable.
#
# Tier 'fine' rows = the post-QC fine labels emitted into obs['cell_type_fine']
# by each loader. Tier 'broad' rows = the 15 _BROAD_VOCAB terms; one row per
# (atlas, broad) documenting CL anchor + whether the atlas populates that
# bucket.
#
# Atlases that live on HB only (TAURUS, HCA Gut, Pan-GI) get skeleton rows
# with native_label='<pending-HB>' — these MUST be replaced with the actual
# native label set after the first HB load.
#
# build_sha: ae0f9ee
# build_date: 2026-06-21
atlas	tier	native_label	native_col	post_qc_label	canonical_broad	canonical_fine	cl_anchor	source	notes
garrido	fine	GC B cell	annotation (GSE214695_cell_annotation.csv)	GC B cell	B cell		CL:0000236	loader-extracted	
garrido	fine	Glia	annotation (GSE214695_cell_annotation.csv)	Glia	mural/glia	enteroglial	CL:4040002,CL:0000125	loader-extracted	
garrido	fine	Goblet	annotation (GSE214695_cell_annotation.csv)	Goblet	goblet	goblet	CL:0000160	loader-extracted	
garrido	fine	IDA macrophage	annotation (GSE214695_cell_annotation.csv)	IDA macrophage	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	IER fibroblasts	annotation (GSE214695_cell_annotation.csv)	IER fibroblasts	fibroblast		CL:0000057,CL:0000669	loader-extracted	
garrido	fine	ILC3	annotation (GSE214695_cell_annotation.csv)	ILC3	NK/ILC		CL:0000623,CL:0001065	loader-extracted	
garrido	fine	Inflammatory colonocyte	annotation (GSE214695_cell_annotation.csv)	Inflammatory colonocyte	colonocyte		CL:1000347	loader-extracted	
garrido	fine	Inflammatory fibroblasts	annotation (GSE214695_cell_annotation.csv)	Inflammatory fibroblasts	fibroblast	inflammatory_fibroblast	CL:0000057,CL:0000669	loader-extracted	
garrido	fine	Inflammatory monocytes	annotation (GSE214695_cell_annotation.csv)	Inflammatory monocytes	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	Laminin colonocytes	annotation (GSE214695_cell_annotation.csv)	Laminin colonocytes	colonocyte		CL:1000347	loader-extracted	
garrido	fine	Lymphatic endothelium	annotation (GSE214695_cell_annotation.csv)	Lymphatic endothelium	endothelium	lymphatic_endothelial	CL:0000115,CL:0002138	loader-extracted	
garrido	fine	M0	annotation (GSE214695_cell_annotation.csv)	M0	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	M1 ACOD1	annotation (GSE214695_cell_annotation.csv)	M1 ACOD1	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	M1 CXCL5	annotation (GSE214695_cell_annotation.csv)	M1 CXCL5	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	M2	annotation (GSE214695_cell_annotation.csv)	M2	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	M2.2	annotation (GSE214695_cell_annotation.csv)	M2.2	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	MAIT	annotation (GSE214695_cell_annotation.csv)	MAIT	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	MT T cells	annotation (GSE214695_cell_annotation.csv)	MT T cells	T cell		CL:0000084	loader-extracted	
garrido	fine	MT fibroblasts	annotation (GSE214695_cell_annotation.csv)	MT fibroblasts	fibroblast		CL:0000057,CL:0000669	loader-extracted	
garrido	fine	Mast 1	annotation (GSE214695_cell_annotation.csv)	Mast 1	mast cell		CL:0000097	loader-extracted	
garrido	fine	Mast 2	annotation (GSE214695_cell_annotation.csv)	Mast 2	mast cell		CL:0000097	loader-extracted	
garrido	fine	Mature goblet	annotation (GSE214695_cell_annotation.csv)	Mature goblet	goblet	goblet	CL:0000160	loader-extracted	
garrido	fine	Memory B cell	annotation (GSE214695_cell_annotation.csv)	Memory B cell	B cell		CL:0000236	loader-extracted	
garrido	fine	Myofibroblasts	annotation (GSE214695_cell_annotation.csv)	Myofibroblasts	fibroblast		CL:0000057,CL:0000669	loader-extracted	
garrido	fine	NK	annotation (GSE214695_cell_annotation.csv)	NK	NK/ILC		CL:0000623,CL:0001065	loader-extracted	
garrido	fine	Naive B cell	annotation (GSE214695_cell_annotation.csv)	Naive B cell	B cell		CL:0000236	loader-extracted	
garrido	fine	Neutrophil 1	annotation (GSE214695_cell_annotation.csv)	Neutrophil 1	granulocyte		CL:0000094,CL:0000775,CL:0000771	loader-extracted	
garrido	fine	Neutrophil 2	annotation (GSE214695_cell_annotation.csv)	Neutrophil 2	granulocyte		CL:0000094,CL:0000775,CL:0000771	loader-extracted	
garrido	fine	Neutrophil 3	annotation (GSE214695_cell_annotation.csv)	Neutrophil 3	granulocyte		CL:0000094,CL:0000775,CL:0000771	loader-extracted	
garrido	fine	PC IER	annotation (GSE214695_cell_annotation.csv)	PC IER	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IGLL5	annotation (GSE214695_cell_annotation.csv)	PC IGLL5	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA 1	annotation (GSE214695_cell_annotation.csv)	PC IgA 1	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA 2	annotation (GSE214695_cell_annotation.csv)	PC IgA 2	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA 3	annotation (GSE214695_cell_annotation.csv)	PC IgA 3	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA 4	annotation (GSE214695_cell_annotation.csv)	PC IgA 4	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA IgM	annotation (GSE214695_cell_annotation.csv)	PC IgA IgM	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA Lambda 1	annotation (GSE214695_cell_annotation.csv)	PC IgA Lambda 1	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgA heat shock 1	annotation (GSE214695_cell_annotation.csv)	PC IgA heat shock 1	plasma cell		CL:0000786	loader-extracted	
garrido	fine	PC IgA heat shock 2	annotation (GSE214695_cell_annotation.csv)	PC IgA heat shock 2	plasma cell		CL:0000786	loader-extracted	
garrido	fine	PC IgG 1	annotation (GSE214695_cell_annotation.csv)	PC IgG 1	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC IgG 2	annotation (GSE214695_cell_annotation.csv)	PC IgG 2	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	PC immediate early response	annotation (GSE214695_cell_annotation.csv)	PC immediate early response	plasma cell		CL:0000786	loader-extracted	
garrido	fine	PLCG2 colonocytes	annotation (GSE214695_cell_annotation.csv)	PLCG2 colonocytes	colonocyte		CL:1000347	loader-extracted	
garrido	fine	Paneth-like	annotation (GSE214695_cell_annotation.csv)	Paneth-like	goblet	paneth_like	CL:0000160	loader-extracted	
garrido	fine	Pericytes	annotation (GSE214695_cell_annotation.csv)	Pericytes	mural/glia		CL:4040002,CL:0000125	loader-extracted	
garrido	fine	Plasmablast IgA Lambda 2	annotation (GSE214695_cell_annotation.csv)	Plasmablast IgA Lambda 2	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	Plasmablast IgG	annotation (GSE214695_cell_annotation.csv)	Plasmablast IgG	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	Plasmablast IgG Lambda	annotation (GSE214695_cell_annotation.csv)	Plasmablast IgG Lambda	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
garrido	fine	S1	annotation (GSE214695_cell_annotation.csv)	S1	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
garrido	fine	S1.2	annotation (GSE214695_cell_annotation.csv)	S1.2	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
garrido	fine	S1PR1 T cells	annotation (GSE214695_cell_annotation.csv)	S1PR1 T cells	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	S2a	annotation (GSE214695_cell_annotation.csv)	S2a	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
garrido	fine	S2b	annotation (GSE214695_cell_annotation.csv)	S2b	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
garrido	fine	S3	annotation (GSE214695_cell_annotation.csv)	S3	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
garrido	fine	Secretory progenitor	annotation (GSE214695_cell_annotation.csv)	Secretory progenitor	epithelial progenitor	immature_enterocyte_ta	CL:0002250,CL:0009010	loader-extracted	
garrido	fine	T	annotation (GSE214695_cell_annotation.csv)	T	T cell		CL:0000084	loader-extracted	Ribhi-parent identity row, target of RIBHI_TO_PARENT collapse
garrido	fine	T cells CCL20	annotation (GSE214695_cell_annotation.csv)	T cells CCL20	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	ThF	annotation (GSE214695_cell_annotation.csv)	ThF	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	Tregs	annotation (GSE214695_cell_annotation.csv)	Tregs	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	Tuft cells	annotation (GSE214695_cell_annotation.csv)	Tuft cells	enteroendocrine/tuft	tuft	CL:0000164,CL:0002204	loader-extracted	
garrido	fine	epithelial	annotation (GSE214695_cell_annotation.csv)	epithelial	epithelial progenitor		CL:0002250,CL:0009010	loader-extracted	Ribhi-parent identity row, target of RIBHI_TO_PARENT collapse
garrido	fine	fibroblast	annotation (GSE214695_cell_annotation.csv)	fibroblast	fibroblast		CL:0000057,CL:0000669	loader-extracted	Ribhi-parent identity row, target of RIBHI_TO_PARENT collapse
garrido	fine	gd IEL	annotation (GSE214695_cell_annotation.csv)	gd IEL	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	mast	annotation (GSE214695_cell_annotation.csv)	mast	mast cell		CL:0000097	loader-extracted	Ribhi-parent identity row, target of RIBHI_TO_PARENT collapse
garrido	fine	plasma cell	annotation (GSE214695_cell_annotation.csv)	plasma cell	plasma cell		CL:0000786	loader-extracted	Ribhi-parent identity row, target of RIBHI_TO_PARENT collapse
garrido	fine	Cycling cells	annotation (GSE214695_cell_annotation.csv)	<EXCLUDED>	<EXCLUDED>	<EXCLUDED>		loader-extracted	Lineage-ambiguous cycling cluster; dropped per DECISIONS 22(b) EXCLUDE_LINEAGE_AMBIGUOUS_FINE
garrido	fine	Cycling cells 2	annotation (GSE214695_cell_annotation.csv)	<EXCLUDED>	<EXCLUDED>	<EXCLUDED>		loader-extracted	Lineage-ambiguous cycling cluster; dropped per DECISIONS 22(b) EXCLUDE_LINEAGE_AMBIGUOUS_FINE
garrido	fine	Cycling cells 3	annotation (GSE214695_cell_annotation.csv)	<EXCLUDED>	<EXCLUDED>	<EXCLUDED>		loader-extracted	Lineage-ambiguous cycling cluster; dropped per DECISIONS 22(b) EXCLUDE_LINEAGE_AMBIGUOUS_FINE
garrido	broad	B cell	cell_type_broad (loader-emitted)	B cell	B cell		CL:0000236	loader-extracted	
garrido	broad	NK/ILC	cell_type_broad (loader-emitted)	NK/ILC	NK/ILC		CL:0000623,CL:0001065	loader-extracted	
garrido	broad	T cell	cell_type_broad (loader-emitted)	T cell	T cell		CL:0000084	loader-extracted	
garrido	broad	colonocyte	cell_type_broad (loader-emitted)	colonocyte	colonocyte		CL:1000347	loader-extracted	
garrido	broad	dendritic cell	cell_type_broad (loader-emitted)	dendritic cell	dendritic cell		CL:0000451	loader-extracted	
garrido	broad	endothelium	cell_type_broad (loader-emitted)	endothelium	endothelium		CL:0000115,CL:0002138	loader-extracted	
garrido	broad	enteroendocrine/tuft	cell_type_broad (loader-emitted)	enteroendocrine/tuft	enteroendocrine/tuft		CL:0000164,CL:0002204	loader-extracted	
garrido	broad	epithelial progenitor	cell_type_broad (loader-emitted)	epithelial progenitor	epithelial progenitor		CL:0002250,CL:0009010	loader-extracted	
garrido	broad	fibroblast	cell_type_broad (loader-emitted)	fibroblast	fibroblast		CL:0000057,CL:0000669	loader-extracted	
garrido	broad	goblet	cell_type_broad (loader-emitted)	goblet	goblet		CL:0000160	loader-extracted	
garrido	broad	granulocyte	cell_type_broad (loader-emitted)	granulocyte	granulocyte		CL:0000094,CL:0000775,CL:0000771	loader-extracted	
garrido	broad	mast cell	cell_type_broad (loader-emitted)	mast cell	mast cell		CL:0000097	loader-extracted	
garrido	broad	monocyte/macrophage	cell_type_broad (loader-emitted)	monocyte/macrophage	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	broad	mural/glia	cell_type_broad (loader-emitted)	mural/glia	mural/glia		CL:4040002,CL:0000125	loader-extracted	
garrido	broad	plasma cell	cell_type_broad (loader-emitted)	plasma cell	plasma cell		CL:0000786	loader-extracted	
smillie	fine	Best4+ Enterocytes	Cluster (all.meta2.txt)	Best4+ Enterocytes	colonocyte	absorptive_enterocyte	CL:1000347	loader-extracted	
smillie	fine	CD4+ Activated Fos-hi	Cluster (all.meta2.txt)	CD4+ Activated Fos-hi	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	CD4+ Activated Fos-lo	Cluster (all.meta2.txt)	CD4+ Activated Fos-lo	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	CD4+ Memory	Cluster (all.meta2.txt)	CD4+ Memory	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	CD4+ PD1+	Cluster (all.meta2.txt)	CD4+ PD1+	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	CD69+ Mast	Cluster (all.meta2.txt)	CD69+ Mast	mast cell		CL:0000097	loader-extracted	
smillie	fine	CD69- Mast	Cluster (all.meta2.txt)	CD69- Mast	mast cell		CL:0000097	loader-extracted	
smillie	fine	CD8+ IELs	Cluster (all.meta2.txt)	CD8+ IELs	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	CD8+ IL17+	Cluster (all.meta2.txt)	CD8+ IL17+	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	CD8+ LP	Cluster (all.meta2.txt)	CD8+ LP	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	Cycling B	Cluster (all.meta2.txt)	Cycling B	B cell		CL:0000236	loader-extracted	Lineage-prefixed cycling; KEPT per DECISIONS 22(b) (vs unprefixed-Cycling exclusion)
smillie	fine	Cycling Monocytes	Cluster (all.meta2.txt)	Cycling Monocytes	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	Lineage-prefixed cycling; KEPT per DECISIONS 22(b) (vs unprefixed-Cycling exclusion)
smillie	fine	Cycling T	Cluster (all.meta2.txt)	Cycling T	T cell		CL:0000084	loader-extracted	Lineage-prefixed cycling; KEPT per DECISIONS 22(b) (vs unprefixed-Cycling exclusion)
smillie	fine	Cycling TA	Cluster (all.meta2.txt)	Cycling TA	epithelial progenitor	immature_enterocyte_ta	CL:0002250,CL:0009010	loader-extracted	Lineage-prefixed cycling; KEPT per DECISIONS 22(b) (vs unprefixed-Cycling exclusion)
smillie	fine	DC1	Cluster (all.meta2.txt)	DC1	dendritic cell		CL:0000451	loader-extracted	
smillie	fine	DC2	Cluster (all.meta2.txt)	DC2	dendritic cell		CL:0000451	loader-extracted	
smillie	fine	Endothelial	Cluster (all.meta2.txt)	Endothelial	endothelium	endothelial	CL:0000115,CL:0002138	loader-extracted	
smillie	fine	Enterocyte Progenitors	Cluster (all.meta2.txt)	Enterocyte Progenitors	epithelial progenitor	immature_enterocyte_ta	CL:0002250,CL:0009010	loader-extracted	
smillie	fine	Enterocytes	Cluster (all.meta2.txt)	Enterocytes	colonocyte	absorptive_enterocyte	CL:1000347	loader-extracted	
smillie	fine	Enteroendocrine	Cluster (all.meta2.txt)	Enteroendocrine	enteroendocrine/tuft	enteroendocrine	CL:0000164,CL:0002204	loader-extracted	
smillie	fine	Follicular	Cluster (all.meta2.txt)	Follicular	B cell		CL:0000236	loader-extracted	
smillie	fine	GC	Cluster (all.meta2.txt)	GC	B cell		CL:0000236	loader-extracted	
smillie	fine	Glia	Cluster (all.meta2.txt)	Glia	mural/glia	enteroglial	CL:4040002,CL:0000125	loader-extracted	
smillie	fine	Goblet	Cluster (all.meta2.txt)	Goblet	goblet	goblet	CL:0000160	loader-extracted	
smillie	fine	ILCs	Cluster (all.meta2.txt)	ILCs	NK/ILC		CL:0000623,CL:0001065	loader-extracted	
smillie	fine	Immature Enterocytes 1	Cluster (all.meta2.txt)	Immature Enterocytes 1	colonocyte	immature_enterocyte_ta	CL:1000347	loader-extracted	
smillie	fine	Immature Enterocytes 2	Cluster (all.meta2.txt)	Immature Enterocytes 2	colonocyte	immature_enterocyte_ta	CL:1000347	loader-extracted	
smillie	fine	Immature Goblet	Cluster (all.meta2.txt)	Immature Goblet	goblet	goblet	CL:0000160	loader-extracted	
smillie	fine	Inflammatory Fibroblasts	Cluster (all.meta2.txt)	Inflammatory Fibroblasts	fibroblast	inflammatory_fibroblast	CL:0000057,CL:0000669	loader-extracted	
smillie	fine	Inflammatory Monocytes	Cluster (all.meta2.txt)	Inflammatory Monocytes	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
smillie	fine	M cells	Cluster (all.meta2.txt)	M cells	colonocyte		CL:1000347	loader-extracted	
smillie	fine	MT-hi	Cluster (all.meta2.txt)	MT-hi	T cell		CL:0000084	loader-extracted	QC stress label; broad-mapped here, not collapsed via QC_STATE_TO_PARENT (single Imm-compartment cluster, see DECISIONS 22)
smillie	fine	Macrophages	Cluster (all.meta2.txt)	Macrophages	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
smillie	fine	Microvascular	Cluster (all.meta2.txt)	Microvascular	endothelium	endothelial	CL:0000115,CL:0002138	loader-extracted	
smillie	fine	Myofibroblasts	Cluster (all.meta2.txt)	Myofibroblasts	fibroblast		CL:0000057,CL:0000669	loader-extracted	
smillie	fine	NKs	Cluster (all.meta2.txt)	NKs	NK/ILC		CL:0000623,CL:0001065	loader-extracted	
smillie	fine	Pericytes	Cluster (all.meta2.txt)	Pericytes	mural/glia		CL:4040002,CL:0000125	loader-extracted	
smillie	fine	Plasma	Cluster (all.meta2.txt)	Plasma	plasma cell	plasma_cell_collapsed	CL:0000786	loader-extracted	
smillie	fine	Post-capillary Venules	Cluster (all.meta2.txt)	Post-capillary Venules	endothelium		CL:0000115,CL:0002138	loader-extracted	
smillie	fine	RSPO3+	Cluster (all.meta2.txt)	RSPO3+	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
smillie	fine	Secretory TA	Cluster (all.meta2.txt)	Secretory TA	epithelial progenitor		CL:0002250,CL:0009010	loader-extracted	
smillie	fine	Stem	Cluster (all.meta2.txt)	Stem	epithelial progenitor	crypt_stem	CL:0002250,CL:0009010	loader-extracted	
smillie	fine	TA 1	Cluster (all.meta2.txt)	TA 1	epithelial progenitor		CL:0002250,CL:0009010	loader-extracted	
smillie	fine	TA 2	Cluster (all.meta2.txt)	TA 2	epithelial progenitor		CL:0002250,CL:0009010	loader-extracted	
smillie	fine	Tregs	Cluster (all.meta2.txt)	Tregs	T cell	t_cell_broad	CL:0000084	loader-extracted	
smillie	fine	Tuft	Cluster (all.meta2.txt)	Tuft	enteroendocrine/tuft	tuft	CL:0000164,CL:0002204	loader-extracted	
smillie	fine	WNT2B+ Fos-hi	Cluster (all.meta2.txt)	WNT2B+ Fos-hi	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
smillie	fine	WNT2B+ Fos-lo 1	Cluster (all.meta2.txt)	WNT2B+ Fos-lo 1	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
smillie	fine	WNT2B+ Fos-lo 2	Cluster (all.meta2.txt)	WNT2B+ Fos-lo 2	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
smillie	fine	WNT5B+ 1	Cluster (all.meta2.txt)	WNT5B+ 1	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
smillie	fine	WNT5B+ 2	Cluster (all.meta2.txt)	WNT5B+ 2	fibroblast	fibroblast_stromal	CL:0000057,CL:0000669	loader-extracted	
smillie	broad	B cell	cell_type_broad (loader-emitted)	B cell	B cell		CL:0000236	loader-extracted	
smillie	broad	NK/ILC	cell_type_broad (loader-emitted)	NK/ILC	NK/ILC		CL:0000623,CL:0001065	loader-extracted	
smillie	broad	T cell	cell_type_broad (loader-emitted)	T cell	T cell		CL:0000084	loader-extracted	
smillie	broad	colonocyte	cell_type_broad (loader-emitted)	colonocyte	colonocyte		CL:1000347	loader-extracted	
smillie	broad	dendritic cell	cell_type_broad (loader-emitted)	dendritic cell	dendritic cell		CL:0000451	loader-extracted	
smillie	broad	endothelium	cell_type_broad (loader-emitted)	endothelium	endothelium		CL:0000115,CL:0002138	loader-extracted	
smillie	broad	enteroendocrine/tuft	cell_type_broad (loader-emitted)	enteroendocrine/tuft	enteroendocrine/tuft		CL:0000164,CL:0002204	loader-extracted	
smillie	broad	epithelial progenitor	cell_type_broad (loader-emitted)	epithelial progenitor	epithelial progenitor		CL:0002250,CL:0009010	loader-extracted	
smillie	broad	fibroblast	cell_type_broad (loader-emitted)	fibroblast	fibroblast		CL:0000057,CL:0000669	loader-extracted	
smillie	broad	goblet	cell_type_broad (loader-emitted)	goblet	goblet		CL:0000160	loader-extracted	
smillie	broad	mast cell	cell_type_broad (loader-emitted)	mast cell	mast cell		CL:0000097	loader-extracted	
smillie	broad	monocyte/macrophage	cell_type_broad (loader-emitted)	monocyte/macrophage	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
smillie	broad	mural/glia	cell_type_broad (loader-emitted)	mural/glia	mural/glia		CL:4040002,CL:0000125	loader-extracted	
smillie	broad	plasma cell	cell_type_broad (loader-emitted)	plasma cell	plasma cell		CL:0000786	loader-extracted	
taurus	fine	<pending-HB: ~109 labels>	cell_state	<pending-HB>	<pending-HB>	<pending-HB>		pending-HB	Thomas et al., Nat Immunol 25:2152-2165 (2024); Zenodo v3 10.5281/zenodo.14007626. LOW_TO_BROAD ships EMPTY in load_taurus.py; gate (2) fails loud on first HB run with the actual low-tier label set, then this crosswalk row should be replaced with the populated mapping. Populate after first HB load by enumerating obs['cell_state'] and mapping each label into _BROAD_VOCAB and canonical_fine buckets per OPEN_FLAGS F8 T2.5.
taurus	broad	<pending-HB-mapping>	low (mapped via LOW_TO_BROAD)	B cell	B cell		CL:0000236	pending-HB	LOW_TO_BROAD ships EMPTY in load_taurus.py; gate (2) fails loud on first HB run with the actual low-tier label set, then this crosswalk row should be replaced with the populated mapping.
taurus	broad	<pending-HB-mapping>	low (mapped via LOW_TO_BROAD)	NK/ILC	NK/ILC		CL:0000623,CL:0001065	pending-HB	LOW_TO_BROAD ships EMPTY in load_taurus.py; gate (2) fails loud on first HB run with the actual low-tier label set, then this crosswalk row should be replaced with the populated mapping.
taurus	broad	<pending-HB-mapping>	low (mapped via LOW_TO_BROAD)	T cell	T cell		CL:0000084	pending-HB	LOW_TO_BROAD ships EMPTY in load_taurus.py; gate (2) fails loud on first HB run with the actual low-tier label set, then this crosswalk row should be replaced with the populated mapping.
taurus	broad	<pending-HB-mapping>	low (mapped via LOW_TO_BROAD)	colonocyte	colonocyte		CL:1000347	pending-HB	LOW_TO_BROAD ships EMPTY in load_taurus.py; gate (2) fails loud on first HB run with the actual low-tier label set, then this crosswalk row should be replaced with the populated mapping.
